date,fixture_id,home_team,away_team,p_home,p_draw,p_away,bet_outcome,bet_odds,bet_probability,actual_outcome,actual_score,won,pnl,stake
2026-01-01,19432040,Ipswich Town,Oxford United,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.37,0.5486609935760498,home,2-1,True,37.0,100
2026-01-01,19432041,Preston North End,Sheffield Wednesday,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.53,0.5486609935760498,home,3-0,True,53.0,100
2026-01-01,19427641,Liverpool,Leeds United,0.5378584265708923,0.22703100740909576,0.23511047661304474,home,1.49,0.5378584265708923,draw,0-0,False,-100.0,100
2026-01-01,19427637,Brentford,Tottenham Hotspur,0.5486609935760498,0.244191512465477,0.2071475088596344,home,2.45,0.5486609935760498,draw,0-0,False,-100.0,100
2026-01-02,19439426,Rayo Vallecano,Getafe,0.5780542492866516,0.2780870199203491,0.14385874569416046,home,2.05,0.5780542492866516,draw,1-1,False,-100.0,100
2026-01-03,19425053,Como,Udinese,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.76,0.5486609935760498,home,1-0,True,76.0,100
2026-01-03,19427646,Aston Villa,Nottingham Forest,0.5808557271957397,0.21681705117225647,0.20232726633548737,home,1.85,0.5808557271957397,home,3-1,True,85.0,100
2026-01-03,19427655,Wolverhampton Wanderers,West Ham United,0.5973513126373291,0.28737032413482666,0.11527832597494125,home,2.63,0.5973513126373291,home,3-0,True,163.0,100
2026-01-03,19427648,Brighton & Hove Albion,Burnley,0.5263384580612183,0.24358676373958588,0.23007483780384064,home,1.45,0.5263384580612183,home,2-0,True,45.0,100
2026-01-03,19439425,Osasuna,Athletic Club,0.6062460541725159,0.29164937138557434,0.10210459679365158,home,2.9,0.6062460541725159,draw,1-1,False,-100.0,100
2026-01-03,19425058,Juventus,Lecce,0.6723760962486267,0.19867956638336182,0.12894435226917267,home,1.22,0.6723760962486267,draw,1-1,False,-100.0,100
2026-01-03,19427647,AFC Bournemouth,Arsenal,0.2047855406999588,0.12366186827421188,0.6715525984764099,away,1.48,0.6715525984764099,away,2-3,True,48.0,100
2026-01-03,19425051,Atalanta,Roma,0.5152773857116699,0.25396233797073364,0.2307603508234024,home,2.3,0.5152773857116699,home,1-0,True,129.99999999999997,100
2026-01-04,19432057,Queens Park Rangers,Sheffield Wednesday,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.33,0.5389721393585205,home,3-0,True,33.0,100
2026-01-04,19427651,Leeds United,Manchester United,0.5069220066070557,0.34877514839172363,0.1443028301000595,home,2.8,0.5069220066070557,draw,1-1,False,-100.0,100
2026-01-04,19425054,Fiorentina,Cremonese,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.74,0.5389721393585205,home,1-0,True,74.0,100
2026-01-04,19433882,Olympique Marseille,Nantes,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.2,0.5389721393585205,away,0-2,False,-100.0,100
2026-01-04,19432055,Norwich City,Stoke City,0.5069220066070557,0.34877514839172363,0.1443028301000595,home,1.95,0.5069220066070557,away,0-2,False,-100.0,100
2026-01-04,19432049,Bristol City,Preston North End,0.5504787564277649,0.2648211419582367,0.1847001016139984,home,1.84,0.5504787564277649,away,0-2,False,-100.0,100
2026-01-04,19432048,Blackburn Rovers,Charlton Athletic,0.5263384580612183,0.24358676373958588,0.23007483780384064,home,2.1,0.5263384580612183,draw,2-2,False,-100.0,100
2026-01-04,19427653,Newcastle United,Crystal Palace,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.7,0.5804376602172852,home,2-0,True,70.0,100
2026-01-04,19427652,Manchester City,Chelsea,0.5655314326286316,0.21343643963336945,0.22103212773799896,home,1.44,0.5655314326286316,draw,1-1,False,-100.0,100
2026-01-04,19439421,Deportivo Alavés,Real Oviedo,0.5254271626472473,0.26131904125213623,0.21325375139713287,home,1.99,0.5254271626472473,draw,1-1,False,-100.0,100
2026-01-04,19433883,Paris Saint Germain,Paris,0.5980112552642822,0.22396232187747955,0.17802637815475464,home,1.13,0.5980112552642822,home,2-1,True,12.999999999999986,100
2026-01-04,19425057,Inter,Bologna,0.6268333196640015,0.23475651443004608,0.13841022551059723,home,1.41,0.6268333196640015,home,3-1,True,41.0,100
2026-01-07,19425066,Napoli,Hellas Verona,0.5785600543022156,0.21835356950759888,0.20308639109134674,home,1.35,0.5785600543022156,draw,2-2,False,-100.0,100
2026-01-07,19427658,Brentford,Sunderland,0.5263384580612183,0.24358676373958588,0.23007483780384064,home,1.81,0.5263384580612183,home,3-0,True,81.0,100
2026-01-07,19427661,Everton,Wolverhampton Wanderers,0.5151065587997437,0.2561861276626587,0.22870731353759766,home,1.89,0.5151065587997437,draw,1-1,False,-100.0,100
2026-01-07,19427662,Fulham,Chelsea,0.5276832580566406,0.26007676124572754,0.21223995089530945,home,3.4,0.5276832580566406,home,2-1,True,240.0,100
2026-01-07,19427663,Manchester City,Brighton & Hove Albion,0.5808557271957397,0.21681705117225647,0.20232726633548737,home,1.52,0.5808557271957397,draw,1-1,False,-100.0,100
2026-01-08,19425065,AC Milan,Genoa,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.4,0.5804376602172852,draw,1-1,False,-100.0,100
2026-01-08,19427656,Arsenal,Liverpool,0.556236743927002,0.20762746036052704,0.23613578081130981,home,1.63,0.556236743927002,draw,0-0,False,-100.0,100
2026-01-10,19425072,Como,Bologna,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.95,0.5389721393585205,draw,1-1,False,-100.0,100
2026-01-10,19433610,Heidenheim,FC Köln,0.5780542492866516,0.2780870199203491,0.14385874569416046,home,2.75,0.5780542492866516,draw,2-2,False,-100.0,100
2026-01-10,19433617,SC Freiburg,Hamburger SV,0.5130167007446289,0.2551467716693878,0.23183657228946686,home,1.75,0.5130167007446289,home,2-1,True,75.0,100
2026-01-10,19425079,Roma,Sassuolo,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.73,0.5804376602172852,home,2-0,True,73.0,100
2026-01-10,19425071,Atalanta,Torino,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.57,0.5389721393585205,home,2-0,True,57.0,100
2026-01-11,19433615,FC Bayern München,VfL Wolfsburg,0.6083023548126221,0.19667164981365204,0.19502602517604828,home,1.12,0.6083023548126221,home,8-1,True,12.000000000000014,100
2026-01-11,19425076,Inter,Napoli,0.5263384580612183,0.24358676373958588,0.23007483780384064,home,1.72,0.5263384580612183,draw,2-2,False,-100.0,100
2026-01-12,19425077,Juventus,Cremonese,0.6159504652023315,0.21365343034267426,0.1703961342573166,home,1.2,0.6159504652023315,home,5-0,True,20.0,100
2026-01-13,19433626,VfB Stuttgart,Eintracht Frankfurt,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.51,0.5486609935760498,home,3-2,True,51.0,100
2026-01-13,19433621,Borussia Dortmund,Werder Bremen,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.38,0.5804376602172852,home,3-0,True,38.0,100
2026-01-14,19433627,VfL Wolfsburg,St. Pauli,0.5337139368057251,0.2567560374736786,0.20953001081943512,home,1.8,0.5337139368057251,home,2-1,True,80.0,100
2026-01-14,19425039,Napoli,Parma,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.3,0.5486609935760498,draw,0-0,False,-100.0,100
2026-01-14,19433625,TSG Hoffenheim,Borussia Mönchengladbach,0.5234100818634033,0.2517991065979004,0.22479084134101868,home,1.9,0.5234100818634033,home,5-1,True,90.0,100
2026-01-14,19425036,Inter,Lecce,0.6680691242218018,0.20381243526935577,0.1281183958053589,home,1.16,0.6680691242218018,home,1-0,True,15.999999999999986,100
2026-01-16,19433633,Werder Bremen,Eintracht Frankfurt,0.5337139368057251,0.2567560374736786,0.20953001081943512,home,2.6,0.5337139368057251,draw,3-3,False,-100.0,100
2026-01-16,19433890,Paris Saint Germain,LOSC Lille,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.15,0.5804376602172852,home,3-0,True,14.999999999999986,100
2026-01-17,19432061,Ipswich Town,Blackburn Rovers,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.5,0.5389721393585205,home,3-0,True,50.0,100
2026-01-17,19439448,Real Madrid,Levante,0.5808557271957397,0.21681705117225647,0.20232726633548737,home,1.14,0.5808557271957397,home,2-0,True,13.999999999999986,100
2026-01-17,19433634,TSG Hoffenheim,Bayer 04 Leverkusen,0.5504787564277649,0.2648211419582367,0.1847001016139984,home,2.2,0.5504787564277649,home,1-0,True,120.00000000000003,100
2026-01-17,19433629,Borussia Dortmund,St. Pauli,0.6561293005943298,0.21114379167556763,0.13272693753242493,home,1.35,0.6561293005943298,home,3-2,True,35.0,100
2026-01-17,19427669,Leeds United,Fulham,0.5254271626472473,0.26131904125213623,0.21325375139713287,home,2.38,0.5254271626472473,home,1-0,True,138.0,100
2026-01-17,19427670,Liverpool,Burnley,0.5984551310539246,0.22338640689849854,0.17815852165222168,home,1.26,0.5984551310539246,draw,1-1,False,-100.0,100
2026-01-17,19427673,Sunderland,Crystal Palace,0.6469407677650452,0.24228700995445251,0.11077219992876053,home,2.4,0.6469407677650452,home,2-1,True,140.0,100
2026-01-17,19427674,Tottenham Hotspur,West Ham United,0.5284662246704102,0.24457146227359772,0.22696232795715332,home,1.75,0.5284662246704102,away,1-2,False,-100.0,100
2026-01-17,19439445,Mallorca,Athletic Club,0.581632673740387,0.30612245202064514,0.11224489659070969,home,3.8,0.581632673740387,home,3-2,True,280.0,100
2026-01-17,19433891,Lens,Auxerre,0.5808557271957397,0.21681705117225647,0.20232726633548737,home,1.5,0.5808557271957397,home,1-0,True,50.0,100
2026-01-17,19425086,Napoli,Sassuolo,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.44,0.5804376602172852,home,1-0,True,44.0,100
2026-01-17,19432067,Swansea City,Birmingham City,0.5254271626472473,0.26131904125213623,0.21325375139713287,home,2.78,0.5254271626472473,draw,1-1,False,-100.0,100
2026-01-17,19433894,Toulouse,Nice,0.5504787564277649,0.2648211419582367,0.1847001016139984,home,1.95,0.5504787564277649,home,5-1,True,95.0,100
2026-01-17,19439447,Real Betis,Villarreal,0.6111313104629517,0.2528819143772125,0.1359868347644806,home,2.55,0.6111313104629517,home,2-0,True,154.99999999999997,100
2026-01-18,19433892,Strasbourg,Metz,0.5151283740997314,0.23839877545833588,0.24647289514541626,home,1.4,0.5151283740997314,home,2-1,True,40.0,100
2026-01-18,19439440,Atlético Madrid,Deportivo Alavés,0.5804376602172852,0.21738079190254211,0.2021816223859787,home,1.3,0.5804376602172852,home,1-0,True,30.0,100
2026-01-18,19433893,Rennes,Le Havre,0.5130167007446289,0.2551467716693878,0.23183657228946686,home,1.56,0.5130167007446289,draw,1-1,False,-100.0,100
